,ssn,first_name,middle_name,last_name,age_at_consultation,birth_date,gender,street_address,suburb,postcode,state,phone,email,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,current_age,education,occupation,salary,years_of_experience
0,c159341396,Terry,Lee,Ali,29,29/8/1986,M, 24  godfrey  street  flt  6 ,Thomson,3219,VIC, 03  3026  7572 ,lglpqipqnh@mail.com,198,128,33,77,245,0,urinary-tract-infection,34,graduate-diploma,general-manager,169706,15
1,d156410246,Timothy,W,Jordon,62,22/8/1954,M, 102  wells  street  appt  201 , South  Melbourne ,3205,VIC, 03  7405  0590 ,direbceqmk@mail.com.au,180,137,42,73,146,0,episodic-sweating-at-rest-about-once-a-month,62,certificate-ii,carer,66990,43
2,h124520618,Janet,Gayle,Fahnestock,41,27/2/1979,F, 126  margaret  street  flr  2 ,Brisbane,,QLD, 07  7407  9595 ,janet.fahnestock@gmail.com,177,92,29,74,169,0,seborrheic-keratosis,40,certificate-iii,ict-technician,102529,21
4,h183102636,Fermin,,Pate,25,4/8/1991,M, 54  lucaston  road  lollara ,Grove,7109,TAS, 03  9089  0671 ,pate.fermin@aol.com,183,135,40,73,168,0,squamous-cell-carcinoma-right-cheek,26,senior-secondary-school,construction-labourer,10143,7
7,d162076985,Kevin,Tracy,Pleasants,70,1/4/1949,Null, 4011  talgarno  road  bellbird  park ,Talgarno,3691,VIC, 03  8192  4358 ,pleasants.kevin@hotmail.com,199,96,24,73,78,1,right-eye-cataract,71,bachelor-degree,education-professional,113238,52
10,f110454725,John,Matthew,Locklear,28,6/10/1989,Null, 1  stead  road  point  cook  home , Point  Cook ,3030,VIC, 03  3642  3230 ,locklear24@yahoo.com,198,76,19,81,172,1,back-pain,31,certificate-i,personal-assistant,31781,12
11,a156727076,William,Don,Alston,81,21/5/1932,M, 5  barrett  drive  floreat  village , Alice  Springs ,870,NT, 08  7963  1026 ,alston.william@mail.com.au,191,102,28,75,194,0,bilateral-cataract-surgery,85,senior-secondary-school,re-tired,0,45
12,e148389376,Charles,Lamayne,Dumond,61,27/9/1956,F, 1  roberts  road  bynde  haven , Dundee  Beach ,840,NT, 08  9299  5663 ,psropbgqer@mail.com.au,192,92,25,78,226,0,low-energy-(does-very-little-physical-activity),64,senior-secondary-school,other-clerical-worker,39860,45
16,a165443472,Eric,David,Ancrum,59,21/3/1957,F, 23  avenue  road  bowillia  court ,Payneham,5070,SA,,ancrum98@aol.com,194,139,37,77,253,0,query-urinary-tract-infection,63,bachelor-degree,ict-technician,106143.119,44
17,d103965306,Cameron,W,Hiller,50,15/3/1962,Null, 45  north  minore  road  lar  noo ,Rawsonville,2830,NSW, 02  7278  8875 ,cameron11@yahoo.com,169,82,29,70,203,0,ear-infection,54,certificate-ii,construction-worker,91444,35
